Name
Axel Tuanzebe
Matt Turner
Ed Turns
Harry Tyrer
Deniz Undav
Donny van de Beek
Virgil van Dijk
Jan Paul van Hecke
Raphael Varane
Jamie Vardy
Joël Veltman
Jannik Vestergaard
Radek Vitek
Jack Wadham
Theo Walcott
Kyle Walker
Kyle Walker-Peters
Aaron Wan-Bissaka
Danny Ward
Joel Ward
James Ward-Prowse
Ollie Watkins
Kell Watts
Adam Webster
Danny Welbeck
Reece Welch
Jack Wells-Morrison
Charlie Whitaker
Ben White
Harvey White
Alfie Whiteman
Joe Whitworth
George Wickens
Brandon Williams
Neco Williams
Willian
Joe Willock
Callum Wilson
Harry Wilson
Josh Wilson-Esbrand
Yoane Wissa
Chris Wood
Joe Worrall
Granit Xhaka
Ryan Yates
Ashley Young
Wilfried Zaha
Denis Zakaria
Zanka
Jordan Zemura
Oleksandr Zinchenko
Hakim Ziyech
Kurt Zouma
